date,smp_max,smp_min,smp_mean,supply
2020-02-07,169.79375623689256,86.4184171008308,113.53320617817731,85.50356224281393
2020-02-08,162.84990989997934,82.26601602208362,109.01188883465986,79.93667384143525
2020-02-09,162.79712182834626,82.0081026260935,106.5232417092662,78.37541750749565
2020-02-10,163.74493263995606,86.8025808121043,111.26729022685171,83.68630177984402
2020-02-11,175.51309283841186,84.04076312270946,111.1475220160005,76.54721114872837
2020-02-12,176.84589817453843,83.15696314336704,111.3777652471714,77.20094365515533
2020-02-13,170.06031935294837,83.17923402197474,110.77809844674962,74.23835170832096
2020-02-14,169.38121616482107,82.88648005970421,107.73164440213004,73.60465459464153
2020-02-15,161.84615865215204,80.39315941991379,102.45950177567411,71.69321052042808
2020-02-16,168.76603330741608,82.51827191039146,109.09988590255148,80.32736375516203
2020-02-17,169.04557696545498,88.19780612940947,115.16582770461818,86.84650385081184
2020-02-18,169.56863004379636,87.48531147021049,114.29966051563069,84.19205275831764
2020-02-19,172.32722232230492,86.71093412887271,117.32642956388187,84.65035316333577
2020-02-20,168.3583738697419,86.36861106722279,115.56397282598478,83.43636069045974
2020-02-21,172.95201202551695,83.61570622222487,115.75998087870073,76.97442666049359
2020-02-22,168.33563357395695,83.45458482941875,115.20766878178047,78.84891982330622
2020-02-23,168.6350045144227,83.12330519711787,117.40022734373045,79.97158798171132
2020-02-24,169.74735982298995,86.74782194024024,113.96112558192445,74.33888986438785
2020-02-25,173.29270814148978,88.64372116562058,114.26010713361477,79.26937581871616
2020-02-26,164.47398493838352,86.97074060592745,112.27299908971364,79.9111039185941
2020-02-27,168.53349149986065,86.259363903484,112.72355811770652,80.21324267413482
2020-02-28,167.0328071758931,86.4675882770789,113.7088588604427,79.15857763151186
2020-02-29,160.37754393445636,81.20834371066225,110.11279446503977,75.66644591175434
2020-03-01,156.9539151961554,81.76503947164166,102.83758797351258,76.46782338474486
2020-03-02,169.06428378582947,87.43768728832605,108.80504667838139,78.50586067649141
2020-03-03,168.77823871988727,87.22668162815253,108.57740108467836,78.98763404169101
2020-03-04,169.53811513586953,86.74052203465104,109.54774626797095,80.22017881736974
2020-03-05,169.16411039621136,87.30763719300096,109.96341053177676,78.93709784413166
2020-05-25,0.0,0.0,0.0,0.0
2020-05-26,0.0,0.0,0.0,0.0
2020-05-27,0.0,0.0,0.0,0.0
2020-05-28,0.0,0.0,0.0,0.0
2020-05-29,0.0,0.0,0.0,0.0
2020-05-30,0.0,0.0,0.0,0.0
2020-05-31,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0
2020-06-02,0.0,0.0,0.0,0.0
2020-06-03,0.0,0.0,0.0,0.0
2020-06-04,0.0,0.0,0.0,0.0
2020-06-05,0.0,0.0,0.0,0.0
2020-06-06,0.0,0.0,0.0,0.0
2020-06-07,0.0,0.0,0.0,0.0
2020-06-08,0.0,0.0,0.0,0.0
2020-06-09,0.0,0.0,0.0,0.0
2020-06-10,0.0,0.0,0.0,0.0
2020-06-11,0.0,0.0,0.0,0.0
2020-06-12,0.0,0.0,0.0,0.0
2020-06-13,0.0,0.0,0.0,0.0
2020-06-14,0.0,0.0,0.0,0.0
2020-06-15,0.0,0.0,0.0,0.0
2020-06-16,0.0,0.0,0.0,0.0
2020-06-17,0.0,0.0,0.0,0.0
2020-06-18,0.0,0.0,0.0,0.0
2020-06-19,0.0,0.0,0.0,0.0
2020-06-20,0.0,0.0,0.0,0.0
2020-06-21,0.0,0.0,0.0,0.0
