,date,smp_max,smp_min,smp_mean,supply,year,month,day,dayofweek,temp_max,temp_min,temp_mean,ws_max,ws_min,ws_mean,wd_max,wd_min,wd_mean,humid_max,humid_min,humid_mean,landP_max,landP_min,landP_mean,seaP_max,seaP_min,seaP_mean,sfctemp_max,sfctemp_min,sfctemp_mean,stand_temp_max,stand_temp_min,stand_temp_mean
0,2018-02-01,150.65,116.84,132.71,87.47,2018,2,1,3,5.95,3.3,4.264583333333334,4.5,2.05,3.2833333333333345,360.0,0.0,190.0,71.5,47.0,58.6875,1023.5,1020.8,1021.8270833333335,1028.65,1025.65,1026.7229166666666,13.45,1.45,4.29375,-1.785004872241215,-1.6614204070590255,-1.4331578178411024
1,2018-02-02,163.86,116.84,134.19,86.64,2018,2,2,4,5.25,2.45,3.554166666666667,5.2,2.25,3.4395833333333337,350.0,235.0,309.375,62.5,48.0,55.3125,1023.3,1020.9,1022.2124999999997,1028.55,1026.15,1027.4083333333335,13.7,0.8500000000000001,4.072916666666667,-1.8842733457012735,-1.761866582671649,-1.5504268111494182
2,2018-02-03,164.07,116.85,131.39,88.28,2018,2,3,5,4.0,-0.5,1.4333333333333333,6.45,2.1,4.883333333333333,350.0,305.0,328.5416666666667,82.0,50.0,67.29166666666667,1024.05,1021.7,1022.8395833333333,1028.6,1026.0500000000002,1027.3874999999998,4.25,0.55,2.060416666666666,-2.0615384768799494,-2.061732291685288,-1.9574191996900425
3,2018-02-04,171.0,115.76,131.89,86.14,2018,2,4,6,0.30000000000000004,-2.05,-1.0104166666666667,6.0,3.9,4.945833333333335,350.0,280.0,320.625,90.5,57.5,72.08333333333333,1024.05,1022.2,1023.3770833333334,1028.35,1026.65,1027.7937499999998,3.8,0.15000000000000002,1.1500000000000001,-2.5862432651688296,-2.4072553532501195,-2.1712626580757943
4,2018-02-05,170.34,123.89,137.96,90.63,2018,2,5,0,2.05,-1.7000000000000002,0.0020833333333333585,6.0,3.45,4.627083333333334,350.0,170.0,312.2916666666667,87.0,55.0,71.45833333333333,1024.1,1019.8,1022.0187499999997,1028.4,1024.15,1026.3666666666666,4.8500000000000005,0.25,1.5020833333333339,-2.3380720815186837,-2.2640974607347673,-2.122975425537076
5,2018-02-06,167.99,119.11,140.06,91.18,2018,2,6,1,-0.2,-1.5,-0.8833333333333332,5.85,3.2,4.327083333333333,350.0,290.0,318.9583333333333,85.5,60.0,73.4375,1022.1,1019.4,1020.5624999999999,1026.8000000000002,1024.05,1025.0791666666667,3.5999999999999996,-0.5,0.6,-2.6571493176403003,-2.3892869757944886,-2.095382721229237
6,2018-02-07,141.07,124.11,132.76,90.09,2018,2,7,2,2.3,-1.4,0.4958333333333334,4.05,1.8,2.7624999999999997,350.0,180.0,275.625,80.0,65.5,73.39583333333333,1022.3,1019.9000000000001,1020.9729166666667,1026.9,1024.5,1025.5562499999999,7.3500000000000005,-0.45000000000000007,1.4812499999999995,-2.3026190552829484,-2.1942858958661695,-2.081586369075318
7,2018-02-08,147.42,116.84,132.91,87.57,2018,2,8,3,6.1,-0.14999999999999997,2.652083333333333,2.85,0.95,2.010416666666667,290.0,55.0,180.625,97.0,65.0,78.08333333333333,1020.3,1016.2,1018.4312500000001,1024.2,1021.7,1022.8624999999998,10.05,-0.4,2.0145833333333334,-1.763733056499774,-1.889412606250142,-1.9091319671513245
8,2018-02-09,150.7,116.84,126.95,81.63,2018,2,9,4,9.899999999999999,3.3,6.264583333333334,3.5500000000000003,1.45,2.50625,305.0,145.0,227.29166666666666,71.0,54.5,65.08333333333333,1019.75,1016.4,1018.229166666667,1024.1,1020.85,1022.5395833333336,15.35,0.25,5.393750000000001,-1.2248470577165995,-1.378639384806478,-1.4331578178411024
9,2018-02-10,147.2,116.34,130.1,83.0,2018,2,10,5,7.300000000000001,3.05,5.875,5.35,1.15,3.1458333333333326,360.0,125.0,279.7916666666667,88.5,53.0,69.20833333333333,1018.0999999999999,1013.45,1016.2020833333332,1023.7,1018.95,1021.1041666666665,8.9,1.7999999999999998,5.185416666666666,-1.5935585305682451,-1.4337227714327556,-1.4676486982259012
10,2018-02-11,149.81,116.91,127.0,82.75,2018,2,11,6,4.1,0.8999999999999999,2.2687500000000003,7.75,3.0999999999999996,5.3062499999999995,340.0,270.0,308.5416666666667,79.5,41.0,54.833333333333336,1021.85,1016.95,1019.8229166666664,1026.25,1021.25,1024.195833333333,8.7,0.0,2.547916666666667,-2.047357266385655,-1.94361230218188,-1.76427026953517
11,2018-02-12,167.78,124.68,138.91,89.2,2018,2,12,0,3.0,0.04999999999999999,1.9791666666666667,7.65,3.9499999999999997,5.831250000000001,320.0,280.0,292.7083333333333,70.5,45.5,58.270833333333336,1021.25,1019.3,1020.3291666666668,1025.5500000000002,1023.7,1024.6625000000001,5.550000000000001,0.15000000000000002,1.9791666666666663,-2.2033505818228902,-1.9845566376955304,-1.8815392628434853
12,2018-02-13,146.75,126.95,132.89,85.22,2018,2,13,1,7.6,2.95,4.864583333333333,7.65,1.9000000000000001,4.075000000000002,320.0,205.0,277.9166666666667,60.5,33.0,46.083333333333336,1023.25,1019.1,1020.8354166666664,1027.8000000000002,1023.35,1025.1854166666667,19.15,0.25,5.595833333333332,-1.551014899085363,-1.5765861003832615,-1.4814450503798209
13,2018-02-14,168.73,116.84,132.9,75.44,2018,2,14,2,13.45,5.0,9.90625,7.05,2.2,4.216666666666667,280.0,200.0,234.375,86.5,61.5,72.3125,1018.8499999999999,1013.55,1015.8624999999997,1023.05,1017.8,1020.0916666666666,16.299999999999997,2.1,7.749999999999999,-0.7214140851691602,-0.8637422734549647,-1.1986198312244716
14,2018-02-15,142.71,116.62,129.99,74.21,2018,2,15,3,10.6,5.25,7.539583333333334,3.6500000000000004,1.35,2.5062500000000005,340.0,135.0,254.79166666666666,86.0,52.5,68.47916666666667,1016.75,1012.45,1013.9979166666666,1020.5,1017.6,1018.8625000000001,13.7,3.9,7.908333333333334,-1.125578584256541,-1.1983664831204792,-1.1641289508396728
15,2018-02-16,137.18,51.12,121.13,74.96,2018,2,16,4,8.4,4.35,6.0249999999999995,5.25,1.35,2.8937500000000003,340.0,125.0,274.5833333333333,72.0,44.5,59.270833333333336,1014.5,1010.85,1012.6958333333333,1019.85,1015.8499999999999,1017.6229166666666,11.75,2.95,5.893750000000001,-1.4375652151310103,-1.4125141947638147,-1.288296120224948
16,2018-02-17,152.5,107.61,126.44,78.31,2018,2,17,5,6.25,2.8,4.562500000000001,5.6,1.55,3.708333333333334,330.0,100.0,275.4166666666667,67.0,38.0,51.083333333333336,1020.0999999999999,1014.9,1018.0395833333332,1025.0,1020.25,1023.1458333333334,20.05,1.6,6.395833333333332,-1.7424612407583329,-1.61929781728599,-1.5021395786107
17,2018-02-18,148.28,116.91,130.39,73.8,2018,2,18,6,9.55,2.6,6.524999999999999,3.5,1.3,2.029166666666667,260.0,45.0,144.79166666666666,66.0,48.5,57.5625,1020.75,1017.3,1019.3000000000001,1025.1,1021.55,1023.6354166666664,15.45,0.8,6.0062500000000005,-1.2744812944466286,-1.3418189392006779,-1.529732282918539
18,2018-02-19,151.67,116.84,133.35,77.87,2018,2,19,0,9.850000000000001,5.25,7.822916666666667,3.55,0.9,2.33125,170.0,35.0,92.91666666666667,90.0,51.5,68.9375,1019.05,1014.65,1017.1645833333332,1023.45,1019.1,1021.5354166666666,10.0,5.1,6.84375,-1.2319376629637462,-1.158305838301368,-1.1641289508396728
19,2018-02-20,145.99,115.16,125.54,76.98,2018,2,20,1,11.600000000000001,4.8,8.402083333333335,4.5,1.4,2.7708333333333335,320.0,20.0,200.625,72.5,39.5,57.083333333333336,1018.4000000000001,1015.25,1016.6124999999998,1022.9,1019.75,1021.1479166666668,20.2,2.1,8.320833333333333,-0.9837664793136001,-1.0764171672740679,-1.2262125355323104
20,2018-02-21,167.06,116.84,134.82,81.87,2018,2,21,2,7.45,4.3,5.6812499999999995,4.6,2.2,3.4375000000000004,330.0,100.0,265.0,64.5,41.0,50.479166666666664,1018.55,1016.05,1016.9104166666666,1023.85,1021.3,1022.0604166666668,11.7,3.65,6.702083333333335,-1.572286714826804,-1.4611171829634713,-1.2951942963019079
21,2018-02-22,165.91,116.84,134.31,84.73,2018,2,22,3,7.35,3.15,5.047916666666667,4.8,0.9,3.254166666666667,350.0,20.0,213.125,53.0,33.5,42.5625,1020.2,1017.4,1018.4291666666667,1024.65,1021.7,1023.1562500000001,15.0,0.95,5.733333333333332,-1.5864679253210983,-1.550664506676778,-1.4538523460719817
22,2018-02-23,143.44,116.84,128.36,80.26,2018,2,23,4,11.95,3.3,7.906249999999999,5.65,1.6,3.1354166666666665,305.0,215.0,264.5833333333333,70.5,50.5,61.145833333333336,1022.05,1019.2,1020.1062500000002,1026.35,1023.4,1024.408333333333,22.75,0.65,8.172916666666666,-0.9341322425835711,-1.1465232957075122,-1.4331578178411024
23,2018-02-24,148.34,116.63,125.61,73.9,2018,2,24,5,12.7,6.0,9.379166666666668,3.8,1.1,2.333333333333333,305.0,35.0,170.0,67.5,47.0,59.791666666666664,1023.6500000000001,1021.05,1022.0312499999999,1027.9,1025.15,1026.2416666666668,24.6,2.8,10.339583333333332,-0.8277731638763657,-0.9382668553611045,-1.0606563096852768
24,2018-02-25,144.2,116.36,126.36,74.19,2018,2,25,6,12.75,7.550000000000001,9.939583333333335,3.55,1.15,2.3708333333333336,340.0,90.0,220.83333333333334,76.0,59.5,66.8125,1020.9,1016.5,1018.6625,1025.15,1021.25,1023.225,20.35,5.7,11.152083333333332,-0.8206825586292185,-0.859029256417422,-0.8468128512995249
